Trial,Type,Seconds,Cycles,Instructions,L1_Misses
1,contended,3.188639432,14516459182,6015261957,99136370
2,contended,3.111426824,14173152718,6014373320,110495842
3,contended,3.103982447,14154845448,6014198768,110393723
4,contended,3.314297505,15133458266,6016356687,96929338
5,contended,3.127402364,14239747973,6015946693,110956183
6,contended,3.259449483,14862482540,6016392727,99613542
7,contended,3.139439256,14281249508,6014604076,108179834
8,contended,3.224409161,14709368019,6015417354,96623095
9,contended,3.126814387,14243395765,6017745922,106021520
10,contended,3.114654835,14200817205,6015958656,110666374
1,aligned,2.731572111,12478336898,6014443695,440757
2,aligned,2.734028504,12488919809,6014489086,424997
3,aligned,2.752477986,12478350371,6014814658,441756
4,aligned,2.699928243,12458894447,6013360990,341491
5,aligned,2.699372849,12334090887,6014025637,405922
6,aligned,2.704430678,12377118153,6013837058,380192
7,aligned,2.725769698,12417275406,6015147340,457469
8,aligned,2.725838836,12444036668,6013826332,402938
9,aligned,2.705268547,12342795999,6013473445,415035
10,aligned,2.679389529,12293615349,6012796426,350151
